query_id,jaccard_b0_vs_b1
6,0.111
19,0.111
83,0.111
75,0.111
110,0.111
220,0.111
217,0.111
72,0.176
65,0.176
85,0.176
90,0.176
76,0.176
67,0.176
124,0.176
31,0.176
9,0.176
218,0.176
221,0.176
196,0.176
203,0.176
161,0.176
179,0.176
11,0.25
12,0.25
87,0.25
82,0.25
79,0.25
84,0.25
77,0.25
80,0.25
28,0.25
26,0.25
207,0.25
191,0.25
184,0.25
176,0.25
135,0.25
129,0.25
205,0.25
199,0.25
59,0.25
58,0.25
38,0.25
36,0.25
69,0.25
70,0.25
219,0.25
209,0.25
115,0.25
102,0.25
120,0.333
89,0.333
113,0.333
114,0.333
91,0.333
68,0.333
71,0.333
74,0.333
66,0.333
94,0.333
15,0.333
1,0.333
106,0.333
112,0.333
145,0.333
147,0.333
151,0.333
150,0.333
132,0.333
152,0.333
157,0.333
160,0.333
133,0.333
171,0.333
166,0.333
173,0.333
165,0.333
162,0.333
2,0.333
32,0.333
45,0.333
37,0.333
50,0.333
51,0.333
122,0.333
119,0.333
225,0.333
212,0.333
214,0.333
224,0.333
216,0.333
202,0.333
206,0.333
201,0.333
198,0.333
204,0.333
127,0.333
17,0.429
4,0.429
116,0.429
107,0.429
81,0.429
18,0.429
93,0.429
96,0.429
123,0.429
117,0.429
125,0.429
103,0.429
57,0.429
63,0.429
64,0.429
33,0.429
39,0.429
52,0.429
49,0.429
56,0.429
55,0.429
86,0.429
30,0.429
27,0.429
25,0.429
23,0.429
24,0.429
8,0.429
22,0.429
43,0.429
48,0.429
186,0.429
192,0.429
189,0.429
168,0.429
170,0.429
131,0.429
143,0.429
60,0.429
35,0.429
34,0.429
208,0.429
215,0.429
195,0.429
175,0.429
187,0.429
178,0.429
141,0.429
142,0.429
158,0.429
144,0.429
134,0.429
137,0.429
138,0.538
148,0.538
223,0.538
155,0.538
146,0.538
149,0.538
136,0.538
98,0.538
111,0.538
128,0.538
53,0.538
54,0.538
29,0.538
5,0.538
3,0.538
7,0.538
20,0.538
139,0.538
193,0.538
194,0.538
197,0.538
210,0.538
109,0.538
104,0.538
99,0.538
105,0.538
78,0.538
92,0.538
73,0.538
21,0.538
16,0.538
14,0.538
46,0.538
40,0.538
61,0.538
47,0.538
62,0.538
101,0.538
97,0.538
153,0.538
180,0.538
188,0.538
154,0.538
211,0.538
222,0.538
200,0.538
213,0.538
181,0.538
169,0.538
190,0.538
183,0.538
42,0.667
44,0.667
13,0.667
10,0.667
95,0.667
88,0.667
108,0.667
140,0.667
126,0.667
118,0.667
121,0.667
100,0.667
130,0.667
159,0.667
182,0.667
172,0.667
167,0.667
174,0.667
163,0.667
185,0.667
41,0.818
156,0.818
164,0.818
177,0.818
