query_id,doc_id,rank_real
221,1386,11
213,1178,11
12,652,11
77,668,11
55,377,11
204,1311,11
92,811,11
54,365,11
194,740,11
201,1151,11
20,408,11
108,909,11
52,22,11
47,309,11
51,105,11
49,320,11
175,351,11
177,772,11
184,715,11
157,626,11
38,272,11
46,623,11
132,952,11
125,409,11
222,400,11
131,1017,11
61,565,11
23,1272,12
183,253,12
180,621,12
184,32,12
185,285,12
132,1014,12
145,838,12
141,1044,12
142,1042,12
72,570,12
67,629,12
59,788,12
133,1012,12
120,1146,12
97,702,12
107,729,12
201,1296,12
89,797,12
77,1391,12
202,605,12
222,412,12
200,1138,12
8,197,13
208,1346,13
57,857,13
55,16,13
92,808,13
214,1362,13
203,122,13
29,514,13
158,1010,13
34,799,13
33,252,13
112,731,13
108,723,13
179,682,13
107,911,13
211,1172,13
220,111,13
218,1104,13
62,1081,13
136,1034,13
121,891,13
149,937,13
117,360,13
131,1020,13
155,1100,13
132,1012,13
30,464,13
135,1025,14
183,1247,14
101,824,14
40,558,14
185,894,14
196,12,14
191,1008,14
99,1379,14
180,1150,14
53,297,14
111,658,14
184,716,14
95,283,14
94,24,14
209,187,14
84,142,14
215,35,14
1,13,14
197,883,14
21,413,14
123,966,15
156,274,15
37,242,15
34,672,15
105,844,15
183,810,15
53,447,15
98,711,15
76,329,15
191,857,15
135,1024,15
133,1016,15
63,566,15
213,890,16
185,15,16
162,461,16
10,259,16
191,914,16
55,562,16
96,704,16
79,597,16
82,677,16
46,344,16
141,1041,16
72,309,16
127,164,16
65,2,16
131,1013,16
71,572,16
47,663,16
174,482,16
171,252,16
218,1204,16
121,885,16
122,957,16
106,845,17
191,858,17
76,1391,17
221,62,17
92,805,17
96,1339,17
212,887,17
23,1197,17
48,439,17
58,789,17
127,101,17
135,950,17
34,800,17
72,304,17
131,1018,17
39,207,17
45,481,17
111,391,17
162,562,17
25,426,17
123,967,17
157,456,18
186,1062,18
102,913,18
111,864,18
209,1228,18
56,686,18
23,903,18
191,391,18
65,629,18
133,1022,18
176,978,18
58,784,18
120,891,18
153,1082,18
45,1185,18
218,101,18
213,1177,19
1,876,19
66,664,19
70,565,19
191,864,19
8,354,19
23,1112,19
169,774,19
217,1204,19
186,1309,20
6,99,20
58,23,20
184,67,20
47,306,20
133,1024,20
158,1009,20
