query_id,doc_id,rank,score
7,492,1,59.3921
137,952,1,56.953
160,1071,1,49.0662
208,1291,1,48.61
206,1290,1,47.7502
99,639,1,44.3334
120,769,1,43.1706
112,641,1,42.7943
88,548,1,42.4957
147,956,1,39.015
131,950,1,38.4314
194,642,1,38.1616
114,895,1,37.2833
42,521,1,36.9906
210,1145,2,36.8068
93,635,1,36.5481
54,123,1,35.7175
195,642,1,34.5563
169,750,1,34.2509
105,764,1,33.5926
194,932,2,32.9982
107,640,1,32.6042
137,1023,2,32.3901
131,1021,2,31.8133
167,553,1,31.039
159,1066,1,30.9076
168,750,1,30.2859
42,526,2,29.8336
33,516,1,29.552
66,128,1,29.1519
163,492,1,29.0608
100,760,1,28.9692
99,715,2,28.9149
129,945,1,28.7776
144,955,1,28.6214
98,638,1,28.5145
124,941,1,28.4948
114,712,2,28.4289
11,495,1,28.18
68,628,1,28.1302
146,955,1,27.7736
86,755,1,27.5253
215,535,1,27.4028
4,488,2,27.3694
144,1126,2,26.4592
97,1331,1,26.2324
142,954,1,25.8249
73,541,2,25.7716
65,388,1,25.741
189,767,1,25.7342
53,437,2,25.5677
195,932,2,25.5566
101,1119,2,25.0292
163,232,2,24.9523
138,953,1,24.6847
128,945,1,24.6147
20,500,1,24.6081
60,321,1,24.5375
139,847,1,24.5067
21,502,1,24.2962
111,894,1,24.2217
168,118,2,24.1554
162,55,1,24.104
130,948,1,24.0362
139,897,2,24.0073
29,420,2,23.975
56,753,1,23.7972
49,349,1,23.7886
80,544,1,23.6556
13,496,1,23.4794
200,1071,1,23.4361
202,1285,1,23.3875
138,847,2,23.3633
16,498,1,23.2426
74,625,1,23.1856
171,516,2,23.1765
31,751,1,23.1102
121,769,1,23.0741
33,808,2,22.9991
187,763,1,22.9431
26,307,1,22.9308
89,1338,1,22.8118
87,547,1,22.7955
127,6,1,22.7588
58,270,1,22.7455
62,452,1,22.7194
24,756,1,22.6677
62,381,2,22.666
214,1294,1,22.5743
182,634,1,22.0801
148,956,1,22.0517
180,548,1,22.0476
58,1159,2,22.0008
126,1288,2,21.9339
223,1399,1,21.7887
49,1370,2,21.5937
188,640,2,21.5859
77,1264,1,21.564
104,762,1,21.3665
127,5,2,21.3641
166,504,1,21.3167
82,1334,2,21.3141
134,951,1,21.231
190,1339,2,21.2153
96,637,1,21.1373
124,516,2,20.7414
3,485,1,20.741
110,15,1,20.6063
224,1312,1,20.4722
47,568,1,20.4072
27,1031,1,20.4062
8,492,2,20.3
165,504,1,20.2794
122,898,1,20.1747
148,1126,2,20.1393
94,983,1,20.0595
215,1234,2,20.01
27,1035,2,19.9148
47,1200,2,19.8859
176,542,1,19.6666
145,1126,1,19.4795
140,954,1,19.362
1,486,2,19.2756
118,520,2,19.2654
55,17,2,19.0678
119,897,1,19.0463
64,52,2,18.9886
89,1290,2,18.9539
45,540,2,18.9507
66,191,2,18.8591
22,125,1,18.683
74,1153,2,18.6442
179,1280,2,18.4168
87,439,2,18.3482
40,536,1,18.1026
103,761,1,18.0378
10,949,2,17.9234
224,259,2,17.6337
176,963,2,17.5847
220,1375,2,17.3416
145,1051,2,17.3147
31,1209,2,17.297
18,498,2,17.2702
159,1197,2,17.2579
170,1082,2,17.1438
111,857,2,17.1401
209,798,1,17.1352
50,192,1,17.0949
157,1391,1,17.0721
80,546,2,17.06
22,560,2,17.0511
157,1179,2,17.0389
123,941,1,16.9865
85,184,2,16.9801
199,930,1,16.9619
104,462,2,16.9293
32,752,1,16.7914
211,1051,1,16.7845
56,441,2,16.6548
38,536,1,16.6024
211,897,2,16.5733
198,1068,2,16.5376
128,745,2,16.5272
19,706,1,16.4543
209,959,2,16.2578
191,827,1,16.1982
34,1153,1,16.1438
98,673,2,16.0822
189,640,2,15.932
17,1108,2,15.9023
149,1070,2,15.8829
75,396,1,15.7917
117,1304,1,15.7472
21,68,2,15.7406
12,624,1,15.6274
214,828,2,15.5352
46,525,1,15.5148
172,527,2,15.4567
34,516,2,15.4378
11,556,2,15.4356
174,483,1,15.3906
113,704,1,15.3489
72,315,2,15.3263
119,1068,2,15.3216
205,1287,2,15.319
122,1070,2,15.2309
36,123,2,15.2027
113,815,2,15.1915
174,1157,2,15.1654
142,1136,2,15.0779
191,894,2,15.0674
9,45,1,14.9986
103,1214,2,14.9828
199,1070,2,14.9769
79,199,1,14.9518
136,951,2,14.9219
217,655,1,14.8724
